Código,Nome,Estado,Sigla Gênero,Gênero,Data de nascimento,Idade,Primeira legislatura
91,Carlos Jordy,RJ,M,Masculino,08/02/1982,43,TRUE
92,Carlos Sampaio,SP,M,Masculino,31/03/1963,62,TRUE
93,Carlos Veras,PE,M,Masculino,10/08/1981,44,TRUE
94,Carlos Zarattini,SP,M,Masculino,08/06/1959,66,TRUE
95,Carmen Zanotto,SC,F,Feminino,06/10/1962,63,TRUE
96,Carol Dartora,PR,F,Feminino,01/05/1983,42,TRUE
97,Caroline de Toni,SC,F,Feminino,01/09/1986,39,TRUE
98,Castro Neto,PI,M,Masculino,23/04/1974,51,TRUE
99,Célia Xakriabá,SP,F,Feminino,10/05/1989,36,TRUE
100,Célio Silveira,GO,M,Masculino,19/09/1959,66,TRUE
101,Célio Studart,CE,M,Masculino,19/06/1987,38,TRUE
102,Celso Russomanno,SP,M,Masculino,20/08/1956,69,TRUE
103,Celso Sabino,PA,M,Masculino,29/08/1978,47,TRUE
104,Cezinha de Madureira,BA,M,Masculino,12/12/1973,51,TRUE
105,Charles Fernandes,BA,M,Masculino,15/03/1965,60,TRUE
106,Chico Alencar,RJ,M,Masculino,19/10/1949,76,TRUE
107,Chiquinho Brazão,RJ,M,Masculino,22/02/1962,63,TRUE
108,Chris Tonietto,RJ,F,Feminino,14/05/1991,34,TRUE
109,Clarissa Tércio,PE,F,Feminino,26/12/1984,40,TRUE
110,Claudio Cajado,BA,M,Masculino,01/12/1963,61,TRUE
111,Cleber Verde,MA,M,Masculino,10/05/1972,53,TRUE
112,Clodoaldo Magalhães,PE,M,Masculino,13/11/1975,49,TRUE
113,Cobalchini,SC,M,Masculino,07/09/1963,62,TRUE
114,Coronel Armando,RJ,M,Masculino,23/06/1957,68,TRUE
115,Coronel Assis,MT,M,Masculino,16/04/1976,49,TRUE
116,Coronel Chrisóstomo,AM,M,Masculino,23/06/1959,66,TRUE
117,Coronel Fernanda,MT,F,Feminino,13/11/1974,50,TRUE
118,Coronel Meira,PE,M,Masculino,07/01/1958,67,TRUE
119,Coronel Tadeu,SP,M,Masculino,30/09/1965,60,TRUE
120,Coronel Telhada,SP,M,Masculino,10/10/1961,64,TRUE
121,Coronel Ulysses,AC,M,Masculino,19/10/1972,53,TRUE
122,Covatti Filho,RS,M,Masculino,25/07/1987,38,TRUE
123,Cristiane Lopes,RO,F,Feminino,17/11/1983,41,TRUE
124,Da Vitoria,ES,M,Masculino,02/06/1971,54,TRUE
125,Dagoberto Nogueira,SP,M,Masculino,21/07/1955,70,TRUE
126,Daiana Santos,RS,F,Feminino,29/01/1982,43,TRUE
127,Dal Barreto,BA,M,Masculino,16/03/1979,46,TRUE
128,Damião Feliciano,PB,M,Masculino,28/04/1952,73,TRUE
129,Dandara,MG,F,Feminino,23/01/1994,31,TRUE
130,Dani Cunha,RJ,F,Feminino,19/05/1987,38,TRUE
131,Daniel Agrobom,MG,M,Masculino,02/07/1968,57,TRUE
132,Daniel Almeida,BA,M,Masculino,21/01/1955,70,TRUE
133,Daniel Barbosa,AL,M,Masculino,27/10/1984,40,TRUE
134,Daniel Freitas,SC,M,Masculino,03/04/1982,43,TRUE
135,Daniel José,SP,M,Masculino,14/02/1988,37,TRUE
136,Daniel Trzeciak,RS,M,Masculino,04/11/1986,38,TRUE
137,Daniela do Waguinho,RJ,F,Feminino,10/02/1976,49,TRUE
138,Daniela Reinehr,SC,F,Feminino,04/04/1977,48,TRUE
139,Danilo Forte,CE,M,Masculino,01/09/1958,67,TRUE
140,Danrlei de Deus Hinterholz,RS,M,Masculino,18/04/1973,52,FALSE
141,Darci de Matos,PR,M,Masculino,08/11/1961,63,FALSE
142,David Soares,RJ,M,Masculino,21/12/1973,51,TRUE
143,Dayany Bittencourt,CE,F,Feminino,13/09/1981,44,TRUE
144,Defensor Stélio Dener,RR,M,Masculino,16/11/1972,52,TRUE
145,Delegada Adriana Accorsi,GO,F,Feminino,17/03/1973,52,TRUE
146,Delegada Ione,MG,F,Feminino,20/03/1974,51,TRUE
147,Delegada Katarina,SE,F,Feminino,05/10/1973,52,TRUE
148,Delegado Bruno Lima,SP,M,Masculino,25/08/1986,39,TRUE
149,Delegado Caveira,GO,M,Masculino,27/04/1979,46,TRUE
150,Delegado da Cunha,SP,M,Masculino,14/10/1977,48,TRUE
151,Delegado Éder Mauro,PA,M,Masculino,14/12/1960,64,TRUE
152,Delegado Fabio Costa,PE,M,Masculino,15/10/1980,45,TRUE
153,Delegado Marcelo Freitas,MG,M,Masculino,04/03/1976,49,TRUE
154,Delegado Matheus Laiola,SP,M,Masculino,24/12/1982,42,TRUE
155,Delegado Palumbo,SP,M,Masculino,16/08/1974,51,TRUE
156,Delegado Paulo Bilynskyj,SP,M,Masculino,10/03/1987,38,TRUE
157,Delegado Ramagem,RJ,M,Masculino,08/05/1972,53,TRUE
158,Délio Pinheiro,MG,M,Masculino,27/09/1977,48,TRUE
159,Deltan Dallagnol,PR,M,Masculino,15/01/1980,45,TRUE
160,Denise Pessôa,RS,F,Feminino,17/06/1983,42,TRUE
161,Detinha,CE,F,Feminino,25/01/1979,46,TRUE
162,Diego Andrade,MG,M,Masculino,08/08/1977,48,TRUE
163,Diego Coronel,BA,M,Masculino,22/01/1983,42,TRUE
164,Diego Garcia,PR,M,Masculino,10/10/1984,41,TRUE
165,Dilceu Sperafico,RS,M,Masculino,26/01/1948,77,TRUE
166,Dilvanda Faro,PA,F,Feminino,08/05/1969,56,TRUE
167,Dimas Fabiano,RJ,M,Masculino,23/05/1973,52,TRUE
168,Dimas Gadelha,PB,M,Masculino,03/05/1975,50,TRUE
169,Domingos Neto,CE,M,Masculino,29/04/1988,37,TRUE
170,Domingos Sávio,MG,M,Masculino,25/03/1957,68,TRUE
171,Dorinaldo Malafaia,AP,M,Masculino,23/02/1976,49,TRUE
172,Douglas Viegas,SP,M,Masculino,19/06/1979,46,TRUE
173,Doutor Luizinho,RJ,M,Masculino,15/12/1973,51,TRUE
174,Dr Fabio Rueda,PE,M,Masculino,17/07/1977,48,TRUE
175,Dr Flávio,MG,M,Masculino,25/02/1971,54,TRUE
176,Dr. Benjamim,PR,M,Masculino,07/02/1973,52,TRUE
177,Dr. Daniel Soranz,RJ,M,Masculino,16/02/1979,46,TRUE
178,Dr. Fernando Máximo,GO,M,Masculino,04/10/1979,46,TRUE
179,Dr. Francisco,PI,M,Masculino,14/10/1979,46,TRUE
180,Dr. Frederico,RJ,M,Masculino,24/03/1977,48,TRUE
181,Dr. Gonçalo,MA,M,Masculino,08/07/1953,72,TRUE
182,Dr. Ismael Alexandrino,GO,M,Masculino,26/07/1983,42,TRUE
183,Dr. Jaziel,CE,M,Masculino,03/05/1961,64,TRUE
184,Dr. Luiz Ovando,MS,M,Masculino,25/09/1949,76,TRUE
185,Dr. Remy Soares,MA,M,Masculino,04/10/1990,35,TRUE
186,Dr. Victor Linhalis,ES,M,Masculino,02/01/1986,39,TRUE
187,Dr. Zacharias Calil,GO,M,Masculino,05/11/1953,71,TRUE
188,Dra. Alessandra Haber,PA,F,Feminino,15/09/1988,37,TRUE
189,Dra. Mayra Pinheiro,CE,F,Feminino,21/11/1966,58,TRUE
190,Duarte Gonçalves Jr,MG,M,Masculino,11/09/1980,45,TRUE
191,Duarte Jr.,RJ,M,Masculino,15/09/1986,39,TRUE
192,Duda Ramos,AM,M,Masculino,19/05/1974,51,TRUE
193,Duda Salabert,MG,F,Feminino,02/05/1981,44,TRUE
194,Eduardo Bismarck,CE,M,Masculino,14/11/1981,43,TRUE
195,Eduardo Bolsonaro,RJ,M,Masculino,10/07/1984,41,TRUE
196,Eduardo da Fonte,PE,M,Masculino,17/10/1972,53,TRUE
197,Eduardo Velloso,AC,M,Masculino,08/07/1976,49,TRUE
198,Elcione Barbalho,PA,F,Feminino,05/10/1944,81,TRUE
199,Eli Borges,GO,M,Masculino,01/09/1960,65,TRUE
200,Eliane Braz,CE,F,Feminino,08/09/1976,49,TRUE
201,Elisangela Araujo,BA,F,Feminino,29/08/1973,52,TRUE
202,Eliza Virgínia,PB,F,Feminino,02/04/1972,53,TRUE
203,Elmar Nascimento,BA,M,Masculino,06/07/1970,55,TRUE
204,Ely Santos,SP,F,Feminino,13/01/1977,48,TRUE
205,Emanuel Pinheiro Neto,MT,M,Masculino,05/01/1995,30,TRUE
206,Emidinho Madeira,MG,M,Masculino,10/03/1967,58,TRUE
207,Enfermeira Ana Paula,CE,F,Feminino,17/11/1983,41,TRUE
208,Enfermeira Rejane,RJ,F,Feminino,24/08/1963,62,TRUE
209,Enio Verri,PR,M,Masculino,27/03/1961,64,TRUE
210,Eriberto Medeiros,PE,M,Masculino,26/09/1965,60,TRUE
211,Erika Hilton,SP,F,Feminino,09/12/1992,32,TRUE
212,Erika Kokay,CE,F,Feminino,15/08/1957,68,TRUE
213,Eros Biondini,MG,M,Masculino,20/05/1971,54,TRUE
214,Euclydes Pettersen,MG,M,Masculino,15/08/1984,41,TRUE
215,Eunício Oliveira,CE,M,Masculino,30/09/1952,73,TRUE
216,Evair Vieira de Melo,ES,M,Masculino,02/04/1972,53,FALSE
217,Fabio Garcia,DF,M,Masculino,29/06/1977,48,TRUE
218,Fábio Henrique,SE,M,Masculino,19/06/1972,53,TRUE
219,Fábio Macedo,MA,M,Masculino,18/09/1981,44,TRUE
220,Fabio Reis,SE,M,Masculino,15/04/1977,48,TRUE
221,Fabio Schiochet,SC,M,Masculino,31/05/1988,37,TRUE
222,Fábio Teruel,SP,M,Masculino,22/10/1971,54,TRUE
223,Fausto Pinato,SP,M,Masculino,01/06/1977,48,TRUE
224,Fausto Santos Jr.,AM,M,Masculino,20/12/1992,32,TRUE
225,Felipe Becari,SP,M,Masculino,06/03/1987,38,TRUE
226,Felipe Carreras,PE,M,Masculino,16/04/1975,50,TRUE
227,Felipe Francischini,PR,M,Masculino,02/10/1991,34,TRUE
228,Felipe Saliba,MG,M,Masculino,12/06/1980,45,TRUE
229,Félix Mendonça Júnior,BA,M,Masculino,29/11/1963,61,TRUE
230,Fernanda Melchionna,RS,F,Feminino,02/02/1984,41,TRUE
231,Fernanda Pessoa,CE,F,Feminino,08/06/1966,59,TRUE
232,Fernando Coelho Filho,PE,M,Masculino,28/02/1984,41,TRUE
233,Fernando Mineiro,MG,M,Masculino,06/12/1956,68,TRUE
234,Fernando Monteiro,PE,M,Masculino,17/09/1976,49,TRUE
235,Fernando Rodolfo,PE,M,Masculino,17/11/1983,41,TRUE
236,Filipe Barros,PR,M,Masculino,29/05/1991,34,TRUE
237,Filipe Martins,GO,M,Masculino,01/04/1984,41,TRUE
238,Flávia Morais,MG,F,Feminino,26/04/1969,56,TRUE
239,Flavinha,MT,F,Feminino,08/11/1990,34,TRUE
240,Flávio Nogueira,CE,M,Masculino,27/02/1953,72,TRUE
241,Florentino Neto,PI,M,Masculino,05/10/1969,56,TRUE
242,Franciane Bayer,RS,F,Feminino,09/10/1987,38,TRUE
243,Fred Costa,MG,M,Masculino,12/07/1977,48,TRUE
244,Fred Linhares,DF,M,Masculino,26/01/1980,45,TRUE
245,Gabriel Mota,RR,M,Masculino,24/12/1982,42,TRUE
246,Gabriel Nunes,PE,M,Masculino,23/07/1983,42,TRUE
247,General Girão,CE,M,Masculino,08/05/1955,70,TRUE
248,General Pazuello,RJ,M,Masculino,19/07/1963,62,TRUE
249,Geovania de Sá,SC,F,Feminino,30/03/1972,53,TRUE
250,Geraldo Mendes,SC,M,Masculino,05/12/1985,39,TRUE
251,Geraldo Resende,MG,M,Masculino,20/04/1955,70,TRUE
252,Gerlen Diniz,AC,M,Masculino,08/04/1974,51,TRUE
253,Gervásio Maia,SP,M,Masculino,14/04/1975,50,TRUE
254,Giacobo,PR,M,Masculino,17/12/1970,54,TRUE
255,Gilberto Abramo,SP,M,Masculino,06/08/1966,59,TRUE
256,Gilberto Nascimento,SP,M,Masculino,09/07/1956,69,TRUE
257,Gilson Daniel,RJ,M,Masculino,17/07/1978,47,TRUE
258,Gilson Marques,SC,M,Masculino,12/04/1981,44,TRUE
259,Gilvan da Federal,MA,M,Masculino,24/09/1976,49,TRUE
260,Gilvan Maximo,GO,M,Masculino,10/05/1969,56,TRUE
261,Giovani Cherini,RS,M,Masculino,23/06/1960,65,FALSE
262,Gisela Simona,MT,F,Feminino,28/04/1977,48,TRUE
263,Glauber Braga,RJ,M,Masculino,26/06/1982,43,TRUE
264,Gláucia Santiago,MG,F,Feminino,20/02/1960,65,TRUE
265,Glaustin da Fokus,GO,M,Masculino,22/12/1973,51,TRUE
266,Gleisi Hoffmann,PR,F,Feminino,06/09/1965,60,TRUE
267,Greyce Elias,MG,F,Feminino,15/12/1981,43,TRUE
268,Guilherme Boulos,SP,M,Masculino,19/06/1982,43,TRUE
269,Guilherme Derrite,SP,M,Masculino,10/10/1984,41,TRUE
270,Guilherme Uchoa,PE,M,Masculino,27/04/1971,54,TRUE
271,Gustavo Gayer,GO,M,Masculino,13/04/1981,44,TRUE
272,Gustinho Ribeiro,SE,M,Masculino,16/02/1982,43,TRUE
273,Gutemberg Reis,RJ,M,Masculino,09/09/1979,46,TRUE
274,Heitor Schuch,RS,M,Masculino,25/03/1962,63,TRUE
275,Helder Salomão,ES,M,Masculino,08/03/1964,61,TRUE
276,Helena Lima,TO,F,Feminino,30/03/1976,49,TRUE
277,Hélio Leite,PA,M,Masculino,09/12/1957,67,TRUE
278,Helio Lopes,RJ,M,Masculino,28/03/1969,56,TRUE
279,Henderson Pinto,PA,M,Masculino,25/04/1976,49,TRUE
280,Henrique Júnior,PI,M,Masculino,18/09/1985,40,TRUE
281,Hercílio Coelho Diniz,MG,M,Masculino,14/09/1963,62,TRUE
282,Hildo do Candango,BA,M,Masculino,06/12/1970,54,TRUE
283,Hildo Rocha,MA,M,Masculino,22/04/1960,65,TRUE
284,Hugo Leal,MG,M,Masculino,06/08/1962,63,TRUE
285,Hugo Motta,PB,M,Masculino,11/09/1989,36,TRUE
286,Icaro de Valmir,SE,M,Masculino,10/04/2001,24,TRUE
287,Idilvan Alencar,CE,M,Masculino,23/09/1968,57,TRUE
288,Igor Timo,MG,M,Masculino,10/04/1982,43,TRUE
289,Ismael,SC,M,Masculino,16/07/1965,60,TRUE
290,Isnaldo Bulhões Jr.,AL,M,Masculino,30/10/1976,48,TRUE
291,Ivan Junior,CE,M,Masculino,05/07/1982,43,TRUE
292,Ivan Valente,SP,M,Masculino,05/07/1946,79,FALSE
293,Ivoneide Caetano,BA,F,Feminino,10/09/1972,53,TRUE
294,Iza Arruda,PE,F,Feminino,06/09/1987,38,TRUE
295,Jack Rocha,ES,F,Feminino,26/08/1983,42,TRUE
296,Jadyel Alencar,PI,M,Masculino,23/07/1987,38,TRUE
297,Jandira Feghali,PR,F,Feminino,17/05/1957,68,FALSE
298,Jeferson Rodrigues,GO,M,Masculino,01/05/1975,50,TRUE
